Stratum	N	n	SelectionMethod	FrameDescription	Order	SamplingUnitId	InclusionProbability	HTsamplingWeight	SelectionProbability	HHsamplingWeight	SelectionDescription	CountryVessel	VesselLengthGroup	TargetSpecies	TargetStock
Sild2022 Nordsjo	811	71	Poisson	""	55	38415	0.136247006433322	0.0126246872064253	0.00133064516129033	0.0125395452785614	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	33	38406	0.097027756531011	0.0177276678399005	0.000927419354838754	0.0179915214866309	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	13	38417	0.101027788104015	0.0170257695562093	0.000967741935483879	0.017241874758022	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	18	38419	0.0849215381190344	0.0202548832384721	0.00080645161290327	0.0206902497096254	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	29	38408	0.184718409696934	0.00931188094275289	0.0018548387096774	0.00899576074331599	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	37	38412	0.216686691440281	0.00793807791147411	0.00221774193548385	0.00752372716713699	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	40	38422	0.0518463272604551	0.0331764259865801	0.00048387096774194	0.034483749516044	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	51	38432	0.162691408611336	0.0105726285961522	0.00161290322580643	0.0103451248548134	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	60	38429	0.338519898362406	0.00508116612155855	0.00375000000000003	0.00444951606658632	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	11	38404	0.162691408611336	0.0105726285961522	0.00161290322580643	0.0103451248548134	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	28	38413	0.097027756531011	0.0177276678399005	0.000927419354838754	0.0179915214866309	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	2	38414	0.240689370659604	0.00714645534332767	0.00249999999999995	0.00667427409987967	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	17	38405	0.267229615158194	0.00643669616488522	0.00282258064516128	0.00591149991703619	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	1	38411	0.458713264018625	0.00374978439464236	0.0055645161290323	0.00299858691443861	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	24	38416	0.116853084910627	0.014719986557035	0.00112903225806449	0.0147787497925908	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	25	38427	0.589628784636336	0.00291721822925146	0.00806451612903225	0.00206902497096266	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	38	38409	0.162691408611336	0.0105726285961522	0.00161290322580643	0.0103451248548134	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	23	38424	0.347296770955766	0.00495275505815625	0.00387096774193552	0.00431046868950549	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	30	38421	0.116853084910627	0.014719986557035	0.00112903225806449	0.0147787497925908	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	35	38430	0.116853084910627	0.014719986557035	0.00112903225806449	0.0147787497925908	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	56	38426	0.233906828422691	0.00735367945703649	0.0024193548387097	0.00689674990320879	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	54	38407	0.068529393639208	0.0250998257490547	0.000645161290322549	0.0258628121370345	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	21	38418	0.229685923270579	0.00748881696596698	0.00236952419354841	0.00704178724789118	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	42	38428	0.143125007547176	0.0120179964948861	0.00140322580645158	0.0118909481089811	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	50	38420	0.0425447856855458	0.040429768567782	0.000395161290322577	0.0422249994074016	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	20	38423	0.463520590962966	0.0037108941276137	0.00564516129032255	0.00295574995851809	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	16	38410	0.267034025829916	0.00644141072916334	0.00282016129032259	0.00591657126383371	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	34	38425	0.0930100890906527	0.0184934328721696	0.000887096774193519	0.0188093179178429	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	45		0.254076449772695	0.00676991449058477	0.00266129032258067	0.00626977263928072	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	8		0.0849215381190344	0.0202548832384721	0.00080645161290327	0.0206902497096254	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	15		0.260682016891707	0.00659836784885341	0.00274193548387092	0.00608536756165498	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	12		0.0602245433032077	0.0285610441306723	0.0005645161290323	0.0295574995851786	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	47		0.068529393639208	0.0250998257490547	0.000645161290322549	0.0258628121370345	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	53		0.216686691440281	0.00793807791147411	0.00221774193548385	0.00752372716713699	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	59		0.570866304669027	0.00301309750630624	0.00766129032258067	0.00217792102206594	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	26		0.199083079634323	0.00863999010961628	0.00201612903225812	0.0082760998838504	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	63		0.1700984890555	0.0101122346740615	0.00169354838709679	0.00985249986172684	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	65		0.1700984890555	0.0101122346740615	0.00169354838709679	0.00985249986172684	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	52		0.174511532419619	0.00985651673092022	0.00174193548387092	0.00957881931001258	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	22		0.202634883401628	0.00848854753020615	0.00205645161290324	0.00811382341553975	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	4		0.068529393639208	0.0250998257490547	0.000645161290322549	0.0258628121370345	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	6		0.132402285228299	0.0129912851282484	0.00129032258064521	0.0129314060685161	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	64		0.101027788104015	0.0170257695562093	0.000967741935483879	0.017241874758022	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	58		0.0808504995083754	0.0212747707125089	0.000766129032258034	0.0217792102206604	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	69		0.140074844132902	0.0122796912584854	0.00137096774193546	0.01217073512331	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	62		0.0552064585338686	0.0311571487234098	0.000516129032258061	0.0323285151712917	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	49		0.112922833036567	0.0152323121265962	0.00108870967741936	0.0153261108960195	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	19		0.386753608156008	0.00444747198929469	0.0044354838709677	0.00376186358356849	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	14		0.413480846839946	0.00415998915591446	0.0048387096774194	0.0034483749516044	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	41		0.247412405326388	0.00695226189957357	0.00258064516129031	0.00646570303425833	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	57		0.0518463272604551	0.0331764259865801	0.00048387096774194	0.034483749516044	""	NOR	>15m	HER	Nordsjo
